Excited,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Biography,The Zookeeper's Wife by Diane Ackerman
Sad,Adventure,The Hobbit by J.R.R. Tolkien
Angry,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Adventure,The Martian by Andy Weir
Relaxed,Non-Fiction,Sapiens by Yuval Noah Harari
Relaxed,Fantasy,A Game of Thrones by George R.R. Martin
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Relaxed,Non-Fiction,Sapiens by Yuval Noah Harari
Happy,Fantasy,The Way of Kings by Brandon Sanderson
Curious,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Romance,Me Before You by Jojo Moyes
Excited,Fiction,The Picture of Dorian Gray by Oscar Wilde
Anxious,Thriller,Sharp Objects by Gillian Flynn
Bored,Thriller,Before I Go to Sleep by S.J. Watson
Happy,Romance,The Rosie Project by Graeme Simsion
Relaxed,Biography,The Glass Castle by Jeanette Walls
Bored,Romance,It Ends with Us by Colleen Hoover
Hopeful,Adventure,Moby Dick by Herman Melville
Hopeful,Adventure,Into the Wild by Jon Krakauer
Excited,Non-Fiction,Becoming by Michelle Obama
Angry,Mystery,The Woman in White by Wilkie Collins
Curious,Fantasy,The Name of the Wind by Patrick Rothfuss
Anxious,Adventure,The Hobbit by J.R.R. Tolkien
Curious,Non-Fiction,Quiet by Susan Cain
Bored,Non-Fiction,The Power of Habit by Charles Duhigg
Hopeful,Fiction,1984 by George Orwell
Anxious,Romance,It Ends with Us by Colleen Hoover
Relaxed,Action,The Dark Knight Returns by Frank Miller
Curious,Mystery,The Woman in White by Wilkie Collins
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Bored,Thriller,The Girl on the Train by Paula Hawkins
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Angry,Romance,The Time Traveler's Wife by Audrey Niffenegger
Angry,Adventure,The Martian by Andy Weir
Sad,Non-Fiction,Becoming by Michelle Obama
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Bored,Fantasy,The Way of Kings by Brandon Sanderson
Bored,Action,The Bourne Identity by Robert Ludlum
Angry,Thriller,Before I Go to Sleep by S.J. Watson
Happy,Thriller,The Silent Patient by Alex Michaelides
Sad,Romance,Pride and Prejudice by Jane Austen
Curious,Adventure,Moby Dick by Herman Melville
Anxious,Action,The Bourne Identity by Robert Ludlum
Happy,Action,John Wick by Chad Stahelski
Happy,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Biography,The Glass Castle by Jeanette Walls
Sad,Thriller,The Silent Patient by Alex Michaelides
Angry,Adventure,Moby Dick by Herman Melville
Hopeful,Non-Fiction,The Power of Habit by Charles Duhigg
Hopeful,Adventure,Into the Wild by Jon Krakauer
Happy,Fantasy,The Way of Kings by Brandon Sanderson
Sad,Thriller,Sharp Objects by Gillian Flynn
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Excited,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Biography,Steve Jobs by Walter Isaacson
Anxious,Mystery,The Secret History by Donna Tartt
Hopeful,Biography,The Diary of a Young Girl by Anne Frank
Curious,Mystery,The Woman in White by Wilkie Collins
Sad,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Non-Fiction,Sapiens by Yuval Noah Harari
Hopeful,Adventure,The Martian by Andy Weir
Hopeful,Romance,It Ends with Us by Colleen Hoover
Hopeful,Fantasy,The Black Prism by Brent Weeks
Happy,Mystery,The Woman in White by Wilkie Collins
Bored,Thriller,Gone Girl by Gillian Flynn
Happy,Mystery,The Cuckoo's Calling by Robert Galbraith
Curious,Non-Fiction,The Power of Habit by Charles Duhigg
Excited,Romance,Me Before You by Jojo Moyes
Angry,Fiction,1984 by George Orwell
Bored,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Mystery,The Woman in White by Wilkie Collins
Bored,Thriller,The Silent Patient by Alex Michaelides
Curious,Thriller,Sharp Objects by Gillian Flynn
Happy,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Bored,Fantasy,The Black Prism by Brent Weeks
Sad,Mystery,The Woman in White by Wilkie Collins
Bored,Action,John Wick by Chad Stahelski
Happy,Adventure,The Call of the Wild by Jack London
Relaxed,Action,The Bourne Identity by Robert Ludlum
Bored,Non-Fiction,Quiet by Susan Cain
Hopeful,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Adventure,Moby Dick by Herman Melville
Hopeful,Mystery,The Big Sleep by Raymond Chandler
Happy,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Non-Fiction,The Power of Habit by Charles Duhigg
Anxious,Action,Red Rising by Pierce Brown
Anxious,Romance,It Ends with Us by Colleen Hoover
Relaxed,Fantasy,The Way of Kings by Brandon Sanderson
Relaxed,Romance,It Ends with Us by Colleen Hoover
Excited,Non-Fiction,Outliers by Malcolm Gladwell
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Happy,Biography,The Diary of a Young Girl by Anne Frank
Relaxed,Adventure,The Martian by Andy Weir
Bored,Action,The Bourne Identity by Robert Ludlum
Excited,Fiction,Of Mice and Men by John Steinbeck
Bored,Fiction,Of Mice and Men by John Steinbeck
Excited,Fiction,1984 by George Orwell
Excited,Adventure,The Hobbit by J.R.R. Tolkien
Sad,Romance,The Time Traveler's Wife by Audrey Niffenegger
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Happy,Thriller,The Silent Patient by Alex Michaelides
Excited,Mystery,The Secret History by Donna Tartt
Excited,Action,The Hunger Games by Suzanne Collins
Bored,Adventure,Moby Dick by Herman Melville
Happy,Thriller,Sharp Objects by Gillian Flynn
Angry,Non-Fiction,Outliers by Malcolm Gladwell
Relaxed,Thriller,The Girl on the Train by Paula Hawkins
Angry,Biography,The Zookeeper's Wife by Diane Ackerman
Bored,Thriller,The Girl on the Train by Paula Hawkins
Happy,Biography,The Glass Castle by Jeanette Walls
Angry,Fantasy,The Name of the Wind by Patrick Rothfuss
Hopeful,Fiction,Of Mice and Men by John Steinbeck
Happy,Non-Fiction,Sapiens by Yuval Noah Harari
Hopeful,Adventure,The Hobbit by J.R.R. Tolkien
Sad,Fiction,Of Mice and Men by John Steinbeck
Happy,Romance,Me Before You by Jojo Moyes
Hopeful,Biography,Steve Jobs by Walter Isaacson
Angry,Fantasy,The Way of Kings by Brandon Sanderson
Angry,Fiction,Of Mice and Men by John Steinbeck
Curious,Fiction,Of Mice and Men by John Steinbeck
Sad,Biography,The Zookeeper's Wife by Diane Ackerman
Bored,Romance,The Rosie Project by Graeme Simsion
Angry,Romance,Pride and Prejudice by Jane Austen
Hopeful,Non-Fiction,Quiet by Susan Cain
Angry,Fiction,The Catcher in the Rye by J.D. Salinger
Sad,Action,The Hunger Games by Suzanne Collins
Anxious,Thriller,Gone Girl by Gillian Flynn
Happy,Mystery,The Big Sleep by Raymond Chandler
Relaxed,Biography,The Zookeeper's Wife by Diane Ackerman
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Happy,Biography,The Zookeeper's Wife by Diane Ackerman
Curious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Happy,Romance,It Ends with Us by Colleen Hoover
Bored,Non-Fiction,Sapiens by Yuval Noah Harari
Bored,Romance,It Ends with Us by Colleen Hoover
Curious,Non-Fiction,The Power of Habit by Charles Duhigg
Anxious,Biography,Long Walk to Freedom by Nelson Mandela
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Happy,Thriller,The Girl on the Train by Paula Hawkins
Anxious,Non-Fiction,Sapiens by Yuval Noah Harari
Hopeful,Thriller,Sharp Objects by Gillian Flynn
Anxious,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Adventure,The Martian by Andy Weir
Anxious,Mystery,The Big Sleep by Raymond Chandler
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Biography,The Glass Castle by Jeanette Walls
Relaxed,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Happy,Fiction,Of Mice and Men by John Steinbeck
Curious,Biography,The Diary of a Young Girl by Anne Frank
Anxious,Adventure,The Call of the Wild by Jack London
Happy,Mystery,The Cuckoo's Calling by Robert Galbraith
Hopeful,Action,The Bourne Identity by Robert Ludlum
Happy,Thriller,The Silent Patient by Alex Michaelides
Angry,Biography,The Glass Castle by Jeanette Walls
Excited,Adventure,The Hobbit by J.R.R. Tolkien
Bored,Non-Fiction,Outliers by Malcolm Gladwell
Anxious,Non-Fiction,Quiet by Susan Cain
Relaxed,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Thriller,The Silent Patient by Alex Michaelides
Excited,Non-Fiction,Becoming by Michelle Obama
Relaxed,Fantasy,The Name of the Wind by Patrick Rothfuss
Bored,Thriller,Sharp Objects by Gillian Flynn
Sad,Fiction,Of Mice and Men by John Steinbeck
Anxious,Action,Red Rising by Pierce Brown
Hopeful,Action,Red Rising by Pierce Brown
Excited,Action,The Bourne Identity by Robert Ludlum
Excited,Non-Fiction,Sapiens by Yuval Noah Harari
Bored,Mystery,The Cuckoo's Calling by Robert Galbraith
Anxious,Fantasy,A Game of Thrones by George R.R. Martin
Hopeful,Adventure,The Hobbit by J.R.R. Tolkien
Sad,Fantasy,The Black Prism by Brent Weeks
Happy,Fantasy,The Black Prism by Brent Weeks
Anxious,Adventure,Into the Wild by Jon Krakauer
Happy,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Adventure,The Martian by Andy Weir
Curious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Hopeful,Romance,Pride and Prejudice by Jane Austen
Curious,Adventure,Into the Wild by Jon Krakauer
Relaxed,Romance,Me Before You by Jojo Moyes
Anxious,Action,The Dark Knight Returns by Frank Miller
Anxious,Adventure,Moby Dick by Herman Melville
Happy,Biography,The Zookeeper's Wife by Diane Ackerman
Happy,Fantasy,A Game of Thrones by George R.R. Martin
Angry,Fantasy,The Black Prism by Brent Weeks
Curious,Action,The Bourne Identity by Robert Ludlum
Excited,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Happy,Fiction,Of Mice and Men by John Steinbeck
Relaxed,Non-Fiction,Sapiens by Yuval Noah Harari
Relaxed,Action,The Hunger Games by Suzanne Collins
Bored,Mystery,The Big Sleep by Raymond Chandler
Sad,Romance,The Time Traveler's Wife by Audrey Niffenegger
Bored,Fiction,The Catcher in the Rye by J.D. Salinger
Excited,Fiction,1984 by George Orwell
Curious,Thriller,The Girl on the Train by Paula Hawkins
Anxious,Non-Fiction,The Power of Habit by Charles Duhigg
Sad,Biography,The Glass Castle by Jeanette Walls
Hopeful,Biography,The Glass Castle by Jeanette Walls
Excited,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Mystery,The Cuckoo's Calling by Robert Galbraith
Curious,Non-Fiction,Becoming by Michelle Obama
Sad,Biography,The Diary of a Young Girl by Anne Frank
Bored,Adventure,Into the Wild by Jon Krakauer
Relaxed,Thriller,Gone Girl by Gillian Flynn
Relaxed,Action,The Hunger Games by Suzanne Collins
Bored,Action,John Wick by Chad Stahelski
Sad,Fiction,Of Mice and Men by John Steinbeck
Sad,Action,John Wick by Chad Stahelski
Happy,Fiction,Of Mice and Men by John Steinbeck
Curious,Fiction,Of Mice and Men by John Steinbeck
Sad,Biography,Long Walk to Freedom by Nelson Mandela
Sad,Action,The Bourne Identity by Robert Ludlum
Happy,Non-Fiction,Outliers by Malcolm Gladwell
Anxious,Mystery,The Big Sleep by Raymond Chandler
Anxious,Non-Fiction,Becoming by Michelle Obama
Sad,Biography,The Diary of a Young Girl by Anne Frank
Bored,Adventure,Moby Dick by Herman Melville
Bored,Biography,Long Walk to Freedom by Nelson Mandela
Bored,Adventure,The Call of the Wild by Jack London
Angry,Biography,The Zookeeper's Wife by Diane Ackerman
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Excited,Non-Fiction,Quiet by Susan Cain
Excited,Fantasy,The Name of the Wind by Patrick Rothfuss
Hopeful,Romance,It Ends with Us by Colleen Hoover
Relaxed,Non-Fiction,Quiet by Susan Cain
Happy,Biography,The Diary of a Young Girl by Anne Frank
Hopeful,Fiction,The Picture of Dorian Gray by Oscar Wilde
Bored,Romance,Me Before You by Jojo Moyes
Hopeful,Non-Fiction,Quiet by Susan Cain
Sad,Non-Fiction,Quiet by Susan Cain
Relaxed,Action,The Dark Knight Returns by Frank Miller
Relaxed,Fantasy,A Game of Thrones by George R.R. Martin
Bored,Thriller,Before I Go to Sleep by S.J. Watson
Happy,Romance,The Time Traveler's Wife by Audrey Niffenegger
Excited,Non-Fiction,Sapiens by Yuval Noah Harari
Relaxed,Fiction,The Picture of Dorian Gray by Oscar Wilde
Hopeful,Adventure,Into the Wild by Jon Krakauer
Happy,Biography,The Glass Castle by Jeanette Walls
Sad,Mystery,The Woman in White by Wilkie Collins
Sad,Biography,Long Walk to Freedom by Nelson Mandela
Relaxed,Fiction,Of Mice and Men by John Steinbeck
Sad,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Action,The Bourne Identity by Robert Ludlum
Sad,Romance,Pride and Prejudice by Jane Austen
Relaxed,Biography,Long Walk to Freedom by Nelson Mandela
Curious,Adventure,Into the Wild by Jon Krakauer
Sad,Fiction,1984 by George Orwell
Hopeful,Mystery,The Woman in White by Wilkie Collins
Angry,Adventure,The Hobbit by J.R.R. Tolkien
Hopeful,Fiction,The Catcher in the Rye by J.D. Salinger
Anxious,Fantasy,The Name of the Wind by Patrick Rothfuss
Anxious,Mystery,The Big Sleep by Raymond Chandler
Happy,Romance,Pride and Prejudice by Jane Austen
Happy,Mystery,The Cuckoo's Calling by Robert Galbraith
Sad,Mystery,The Cuckoo's Calling by Robert Galbraith
Sad,Non-Fiction,Sapiens by Yuval Noah Harari
Hopeful,Mystery,The Big Sleep by Raymond Chandler
Sad,Fantasy,The Black Prism by Brent Weeks
Excited,Action,John Wick by Chad Stahelski
Hopeful,Thriller,The Silent Patient by Alex Michaelides
Excited,Adventure,Moby Dick by Herman Melville
Curious,Romance,Pride and Prejudice by Jane Austen
Bored,Biography,The Diary of a Young Girl by Anne Frank
Excited,Romance,It Ends with Us by Colleen Hoover
Relaxed,Action,John Wick by Chad Stahelski
Happy,Romance,It Ends with Us by Colleen Hoover
Anxious,Action,The Dark Knight Returns by Frank Miller
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Angry,Adventure,Moby Dick by Herman Melville
Bored,Fantasy,The Name of the Wind by Patrick Rothfuss
Hopeful,Action,John Wick by Chad Stahelski
Bored,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Thriller,Gone Girl by Gillian Flynn
Angry,Thriller,Sharp Objects by Gillian Flynn
Happy,Thriller,The Silent Patient by Alex Michaelides
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Bored,Biography,The Glass Castle by Jeanette Walls
Angry,Biography,The Diary of a Young Girl by Anne Frank
Angry,Adventure,Into the Wild by Jon Krakauer
Happy,Fiction,Of Mice and Men by John Steinbeck
Bored,Non-Fiction,Sapiens by Yuval Noah Harari
Relaxed,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Mystery,The Big Sleep by Raymond Chandler
Happy,Thriller,The Silent Patient by Alex Michaelides
Excited,Thriller,The Silent Patient by Alex Michaelides
Relaxed,Adventure,Moby Dick by Herman Melville
Curious,Action,The Dark Knight Returns by Frank Miller
Hopeful,Fiction,1984 by George Orwell
Bored,Biography,The Zookeeper's Wife by Diane Ackerman
Curious,Romance,The Rosie Project by Graeme Simsion
Happy,Romance,Pride and Prejudice by Jane Austen
Excited,Fantasy,A Game of Thrones by George R.R. Martin
Excited,Non-Fiction,Becoming by Michelle Obama
Sad,Biography,Long Walk to Freedom by Nelson Mandela
Relaxed,Fiction,The Great Gatsby by F. Scott Fitzgerald
Sad,Mystery,The Cuckoo's Calling by Robert Galbraith
Angry,Non-Fiction,Sapiens by Yuval Noah Harari
Anxious,Thriller,The Silent Patient by Alex Michaelides
Excited,Fantasy,The Way of Kings by Brandon Sanderson
Bored,Adventure,The Call of the Wild by Jack London
Bored,Thriller,Sharp Objects by Gillian Flynn
Happy,Romance,It Ends with Us by Colleen Hoover
Curious,Mystery,And Then There Were None by Agatha Christie
Curious,Mystery,And Then There Were None by Agatha Christie
Sad,Non-Fiction,Becoming by Michelle Obama
Bored,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Mystery,And Then There Were None by Agatha Christie
Hopeful,Fiction,1984 by George Orwell
Angry,Romance,The Time Traveler's Wife by Audrey Niffenegger
Excited,Biography,Long Walk to Freedom by Nelson Mandela
Anxious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Excited,Non-Fiction,Becoming by Michelle Obama
Angry,Romance,Pride and Prejudice by Jane Austen
Angry,Fiction,The Catcher in the Rye by J.D. Salinger
Happy,Fiction,The Great Gatsby by F. Scott Fitzgerald
Hopeful,Romance,Pride and Prejudice by Jane Austen
Sad,Fiction,Of Mice and Men by John Steinbeck
Bored,Non-Fiction,Outliers by Malcolm Gladwell
Bored,Biography,The Diary of a Young Girl by Anne Frank
Relaxed,Fantasy,A Game of Thrones by George R.R. Martin
Angry,Action,Red Rising by Pierce Brown
Anxious,Thriller,The Girl on the Train by Paula Hawkins
Angry,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Curious,Romance,The Time Traveler's Wife by Audrey Niffenegger
Bored,Action,John Wick by Chad Stahelski
Anxious,Biography,Long Walk to Freedom by Nelson Mandela
Happy,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Hopeful,Biography,Steve Jobs by Walter Isaacson
Bored,Fantasy,The Black Prism by Brent Weeks
Hopeful,Non-Fiction,The Power of Habit by Charles Duhigg
Bored,Fiction,Of Mice and Men by John Steinbeck
Anxious,Romance,The Rosie Project by Graeme Simsion
Happy,Non-Fiction,The Power of Habit by Charles Duhigg
Angry,Mystery,The Woman in White by Wilkie Collins
Relaxed,Fantasy,A Game of Thrones by George R.R. Martin
Curious,Mystery,And Then There Were None by Agatha Christie
Happy,Thriller,Sharp Objects by Gillian Flynn
Anxious,Action,Red Rising by Pierce Brown
Anxious,Romance,It Ends with Us by Colleen Hoover
Hopeful,Fiction,Of Mice and Men by John Steinbeck
Relaxed,Mystery,The Woman in White by Wilkie Collins
Relaxed,Mystery,And Then There Were None by Agatha Christie
Excited,Non-Fiction,Sapiens by Yuval Noah Harari
Happy,Fantasy,The Way of Kings by Brandon Sanderson
Anxious,Mystery,The Secret History by Donna Tartt
Happy,Thriller,The Silent Patient by Alex Michaelides
Hopeful,Non-Fiction,Quiet by Susan Cain
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Sad,Romance,The Rosie Project by Graeme Simsion
Hopeful,Fantasy,The Name of the Wind by Patrick Rothfuss
Curious,Non-Fiction,Quiet by Susan Cain
Hopeful,Fiction,Of Mice and Men by John Steinbeck
Angry,Fiction,The Great Gatsby by F. Scott Fitzgerald
Sad,Thriller,The Silent Patient by Alex Michaelides
Relaxed,Biography,Long Walk to Freedom by Nelson Mandela
Bored,Action,John Wick by Chad Stahelski
Excited,Fiction,1984 by George Orwell
Excited,Biography,The Glass Castle by Jeanette Walls
Hopeful,Mystery,And Then There Were None by Agatha Christie
Excited,Mystery,And Then There Were None by Agatha Christie
Angry,Adventure,The Martian by Andy Weir
Anxious,Action,Red Rising by Pierce Brown
Relaxed,Action,The Dark Knight Returns by Frank Miller
Hopeful,Adventure,Into the Wild by Jon Krakauer
Sad,Romance,The Time Traveler's Wife by Audrey Niffenegger
Happy,Biography,The Glass Castle by Jeanette Walls
Bored,Romance,It Ends with Us by Colleen Hoover
Sad,Fiction,The Catcher in the Rye by J.D. Salinger
Happy,Romance,The Time Traveler's Wife by Audrey Niffenegger
Anxious,Non-Fiction,The Power of Habit by Charles Duhigg
Sad,Biography,The Zookeeper's Wife by Diane Ackerman
Hopeful,Fantasy,A Game of Thrones by George R.R. Martin
Curious,Fiction,The Catcher in the Rye by J.D. Salinger
Excited,Adventure,The Martian by Andy Weir
Bored,Adventure,Into the Wild by Jon Krakauer
Angry,Action,The Hunger Games by Suzanne Collins
Sad,Romance,Me Before You by Jojo Moyes
Angry,Mystery,The Big Sleep by Raymond Chandler
Bored,Biography,Steve Jobs by Walter Isaacson
Bored,Non-Fiction,Sapiens by Yuval Noah Harari
Sad,Thriller,Gone Girl by Gillian Flynn
Happy,Romance,It Ends with Us by Colleen Hoover
Excited,Mystery,The Secret History by Donna Tartt
Angry,Mystery,The Secret History by Donna Tartt
Curious,Mystery,The Woman in White by Wilkie Collins
Happy,Fantasy,A Game of Thrones by George R.R. Martin
Hopeful,Romance,Pride and Prejudice by Jane Austen
Happy,Mystery,And Then There Were None by Agatha Christie
Excited,Fantasy,The Black Prism by Brent Weeks
Bored,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Biography,The Glass Castle by Jeanette Walls
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Sad,Adventure,The Hobbit by J.R.R. Tolkien
Anxious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Angry,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Mystery,The Big Sleep by Raymond Chandler
Angry,Non-Fiction,The Power of Habit by Charles Duhigg
Sad,Thriller,Before I Go to Sleep by S.J. Watson
Curious,Thriller,Sharp Objects by Gillian Flynn
Sad,Romance,Me Before You by Jojo Moyes
Hopeful,Biography,The Glass Castle by Jeanette Walls
Bored,Non-Fiction,Becoming by Michelle Obama
Curious,Non-Fiction,Sapiens by Yuval Noah Harari
Bored,Action,Red Rising by Pierce Brown
Anxious,Action,The Bourne Identity by Robert Ludlum
Bored,Biography,The Diary of a Young Girl by Anne Frank
Bored,Non-Fiction,Sapiens by Yuval Noah Harari
Angry,Action,Red Rising by Pierce Brown
Bored,Non-Fiction,Sapiens by Yuval Noah Harari
Anxious,Action,The Dark Knight Returns by Frank Miller
Happy,Romance,Pride and Prejudice by Jane Austen
Curious,Fantasy,The Way of Kings by Brandon Sanderson
Excited,Non-Fiction,Sapiens by Yuval Noah Harari
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Anxious,Biography,Long Walk to Freedom by Nelson Mandela
Bored,Thriller,The Silent Patient by Alex Michaelides
Curious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Romance,The Time Traveler's Wife by Audrey Niffenegger
Bored,Romance,It Ends with Us by Colleen Hoover
Anxious,Fantasy,The Way of Kings by Brandon Sanderson
Happy,Thriller,Sharp Objects by Gillian Flynn
Excited,Fantasy,The Name of the Wind by Patrick Rothfuss
Relaxed,Romance,Pride and Prejudice by Jane Austen
Relaxed,Fiction,Of Mice and Men by John Steinbeck
Angry,Mystery,The Cuckoo's Calling by Robert Galbraith
Happy,Action,John Wick by Chad Stahelski
Happy,Action,The Dark Knight Returns by Frank Miller
Curious,Fantasy,The Name of the Wind by Patrick Rothfuss
Anxious,Biography,The Glass Castle by Jeanette Walls
Happy,Non-Fiction,Sapiens by Yuval Noah Harari
Excited,Action,John Wick by Chad Stahelski
Hopeful,Fiction,The Picture of Dorian Gray by Oscar Wilde
Anxious,Mystery,And Then There Were None by Agatha Christie
Sad,Adventure,The Call of the Wild by Jack London
Anxious,Action,Red Rising by Pierce Brown
Curious,Non-Fiction,Outliers by Malcolm Gladwell
Bored,Romance,The Time Traveler's Wife by Audrey Niffenegger
Sad,Non-Fiction,Outliers by Malcolm Gladwell
Curious,Romance,The Rosie Project by Graeme Simsion
Relaxed,Adventure,The Hobbit by J.R.R. Tolkien
Bored,Romance,The Time Traveler's Wife by Audrey Niffenegger
Happy,Biography,The Zookeeper's Wife by Diane Ackerman
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Happy,Mystery,And Then There Were None by Agatha Christie
Bored,Fantasy,A Game of Thrones by George R.R. Martin
Excited,Fiction,The Catcher in the Rye by J.D. Salinger
Curious,Adventure,Moby Dick by Herman Melville
Sad,Thriller,Gone Girl by Gillian Flynn
Excited,Biography,Steve Jobs by Walter Isaacson
Curious,Action,The Hunger Games by Suzanne Collins
Relaxed,Romance,Me Before You by Jojo Moyes
Happy,Thriller,Sharp Objects by Gillian Flynn
Curious,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Mystery,The Cuckoo's Calling by Robert Galbraith
Excited,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Romance,Pride and Prejudice by Jane Austen
Happy,Fiction,The Picture of Dorian Gray by Oscar Wilde
Anxious,Mystery,The Secret History by Donna Tartt
Happy,Mystery,And Then There Were None by Agatha Christie
Angry,Fiction,The Great Gatsby by F. Scott Fitzgerald
Angry,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Fiction,The Great Gatsby by F. Scott Fitzgerald
Anxious,Mystery,The Woman in White by Wilkie Collins
Bored,Mystery,The Cuckoo's Calling by Robert Galbraith
Anxious,Non-Fiction,Becoming by Michelle Obama
Happy,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Relaxed,Romance,Me Before You by Jojo Moyes
Bored,Non-Fiction,The Power of Habit by Charles Duhigg
Bored,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Biography,The Diary of a Young Girl by Anne Frank
Excited,Action,The Hunger Games by Suzanne Collins
Hopeful,Adventure,Into the Wild by Jon Krakauer
Relaxed,Non-Fiction,Quiet by Susan Cain
Curious,Adventure,Moby Dick by Herman Melville
Sad,Romance,Pride and Prejudice by Jane Austen
Bored,Adventure,Into the Wild by Jon Krakauer
Happy,Thriller,The Silent Patient by Alex Michaelides
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Anxious,Thriller,Before I Go to Sleep by S.J. Watson
Happy,Romance,Me Before You by Jojo Moyes
Anxious,Romance,Pride and Prejudice by Jane Austen
Bored,Fantasy,The Black Prism by Brent Weeks
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Thriller,The Girl on the Train by Paula Hawkins
Excited,Action,John Wick by Chad Stahelski
Angry,Action,John Wick by Chad Stahelski
Hopeful,Fantasy,The Black Prism by Brent Weeks
Curious,Thriller,The Silent Patient by Alex Michaelides
Excited,Fiction,The Picture of Dorian Gray by Oscar Wilde
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Romance,Me Before You by Jojo Moyes
Happy,Fantasy,The Name of the Wind by Patrick Rothfuss
Excited,Fantasy,A Game of Thrones by George R.R. Martin
Hopeful,Romance,It Ends with Us by Colleen Hoover
Relaxed,Mystery,And Then There Were None by Agatha Christie
Curious,Mystery,And Then There Were None by Agatha Christie
Sad,Non-Fiction,Outliers by Malcolm Gladwell
Curious,Thriller,The Silent Patient by Alex Michaelides
Curious,Thriller,The Silent Patient by Alex Michaelides
Happy,Thriller,Sharp Objects by Gillian Flynn
Angry,Thriller,Gone Girl by Gillian Flynn
Excited,Romance,Pride and Prejudice by Jane Austen
Curious,Romance,Me Before You by Jojo Moyes
Hopeful,Fiction,The Picture of Dorian Gray by Oscar Wilde
Excited,Romance,The Rosie Project by Graeme Simsion
Hopeful,Fantasy,The Name of the Wind by Patrick Rothfuss
Anxious,Thriller,Before I Go to Sleep by S.J. Watson
Bored,Mystery,The Secret History by Donna Tartt
Hopeful,Mystery,The Woman in White by Wilkie Collins
Sad,Action,The Dark Knight Returns by Frank Miller
Sad,Adventure,Moby Dick by Herman Melville
Angry,Fiction,Of Mice and Men by John Steinbeck
Anxious,Fiction,Of Mice and Men by John Steinbeck
Sad,Romance,Me Before You by Jojo Moyes
Relaxed,Romance,Pride and Prejudice by Jane Austen
